songartist,nn
FRED AGAIN.. & THE BLESSED MADONNA,1
FUN LOVIN' CRIMINALS,2
GABRY PONTE, HOSANNA,2
GAIA,3
GALA,1
GAZEBO,2
GENESI,1
GEORGE BAKER SELECTION,2
GEORGE THOROGOOD & THE DESTROYERS,1
GIANLUCA GRIGNANI,2
GIANMARIA TESTA,2
GIANNA NANNINI,2
GIANNI TOGNI,1
GIGI D'AGOSTINO,1
GINO PAOLI,1
GINO PAOLI,2
GIORGIO GABER,1
GIPSY KINGS,2
GIPSY KINGS,1
GIULIANO PALMA & THE BLUEBEATERS,1
GORILLAZ,5
GOTAN PROJECT,1
GRACE JONES,1
GRANT-LEE PHILLIPS,1
GREEN DAY,1
GUÈ,3
GUESCH PATTI,1
GUNS N' ROSES,1
GUNS N' ROSES,1
HANNES & WATERBABY,3
HARRY NILSSON,2
HARRY STYLES,2
HARRY STYLES,3
HERB ALPERT,1
HILIGHT TRIBE,1
HOOVERPHONIC,1
HOOVERPHONIC,1
HOZIER,1
IL COMPLESSO MISTERIOSO,1
IMAGINE DRAGONS,5
IMAGINE DRAGONS,2
INDY STINTY,1
INHALER,2
INHALER,2
IRON MAIDEN,1
IVANO FOSSATI,2
J.J. CALE,1
JACOB BELLENS,1
JACOB BELLENS,1
JAKE SHEARS,3
JAMES BROWN,2
JAMES TAYLOR,1
JAMIROQUAI,1
JAYDEE,1
JEFF BUCKLEY,1
JEFF BUCKLEY,1
JESS GLYNNE,3
JILL JONES,1
JIM CROCE,2
JIMI HENDRIX,3
JIMMY FONTANA,2
JOEL CORRY, RAYE & DAVID GUETTA,1
JOHN PAUL YOUNG,1
JOHN PRINCEKIN,1
JOHN TRAVOLTA & OLIVIA NEWTON-JOHN,2
JON BATISTE,1
JOSÉ GONZÁLEZ,1
JOVANOTTI,3
JOVANOTTI,1
JOVANOTTI,1
JULIETA VENEGAS,1
JULIO IGLESIAS,4
JUNG KOOK,2
JUNGLE,6
JUSTIN TIMBERLAKE,1
JVKE,5
KALI UCHIS,1
KASABIAN,1
KELIS,1
KENNY LOGGINS,2
KENYA GRACE,6
KHRUANGBIN & LEON BRIDGES,1
KING HARVEST,1
KINGS OF CONVENIENCE,2
KISS,1
KITTY, DAISY & LEWIS,2
LA BOUCHE,1
LADY GAGA,1
LAUFEY,3
LAURA PAUSINI,1
LAURIE DARMON,1
LAZZA,2
LED ZEPPELIN,1
LED ZEPPELIN,2
LENNY KRAVITZ,7
LEONA LEWIS,1
LEVANTE,2
LEWIS CAPALDI,2
LIBIANCA,1
LIGABUE,1
LIGABUE,2
LIGABUE,1
LIL NAS X,4
LINUS,1
LITFIBA,2
LITTLE TONY,2
LIZZO,1
LIZZO,7
LOGIC,2
LOREDANA BERTÈ,1
LOREDANA BERTÈ,1
LOREDANA BERTÈ,1
LORETTA GOGGI,1
LOU RAWLS,1
LOU REED,1
LOU REED,1
LOUIS PRIMA,1
LOUIS PRIMA,1
LP,3
LU COLOMBO,3
LUCA CARBONI,2
LUCIO BATTISTI,2
