songartist,nn
'IL COMPLESSO MISTERIOSO';12
'HOZIER';11
'JIMMY FONTANA';11
'JIM CROCE';11
'LOUIS BERRY';11
'LORDE';11
'MAHMOOD';11
'MAÎTRE GIMS';11
'KYGO';11
'KID CUDI';11
'NICCOLÒ FABI';11
'NICOLA DI BARI';11
'NAT KING COLE';11
'NATALIA LAFOURCADE';11
'OTTO OHM';11
'RENZO ARBORE';11
'RICCARDO COCCIANTE';11
'GAZZELLE';11
'HAIM';11
'DARIN';11
'DAN AUERBACH';11
'DOMINIC FIKE';11
'CHRIS ISAAK';11
'CATERINA CASELLI';11
'UMBERTO TOZZI';11
'TOTO';11
'SAM COOKE';11
'SZA & JUSTIN TIMBERLAKE';11
'THE KNOCKS';11
'THE DOOBIE BROTHERS';11
'THE POLICE';11
'THE STRUMBELLAS';10
'THE WALTERS';10
'TONES AND I';10
'SURVIVOR';10
'ROSA LINN';10
'ROSALÍA';10
'SOPHIE AND THE GIANTS, MEARSY';10
'U2 + A.R. RAHMAN';10
'BRYAN FERRY';10
'CHUCK BERRY';10
'BON JOVI';10
'BOUCHRA';10
'AQUILO';10
'ARIETE';10
'AVICII';10
'BARRY WHITE';10
'ANDERSON .PAAK';10
'EMMY MELI';10
'GWEN STEFANI';10
'GREEN DAY';10
'FUN LOVIN' CRIMINALS';10
'FLORENCE + THE MACHINE';10
'RIDSA';10
'POOH';10
'PLANET FUNK';10
'PAOLO NUTINI';10
'OMI';10
'NIALL HORAN';10
'MARSHMELLO';10
'LAURA GIBSON';10
'LUCIO DALLA & FRANCESCO DE GREGORI';10
'LYKKE LI';10
'JOHN TRAVOLTA & OLIVIA NEWTON-JOHN';10
'INHALER';10
'JAMIROQUAI';9
'JARRYD JAMES';9
'JEFF BUCKLEY';9
'KALI UCHIS';9
'MACKLEMORE';9
'MADONNA';9
'LITFIBA';9
'LOU REED';9
'LSD';9
'LED ZEPPELIN';9
'LIGABUE';9
'KISS';9
'LA BIEN QUERIDA';9
'LA RAPPRESENTANTE DI LISTA';9
'MARK RONSON';9
'NINO MANFREDI';9
'MOON TAXI';9
'MOTTA';9
'OMAR APOLLO';9
'PAOLO CONTE';9
'ELTON JOHN, DUA LIPA';9
'EDDIE VEDDER';9
'COLDPLAY X BTS';9
'CREEDENCE CLEARWATER REVIVAL';9
'DEAN LEWIS';9
'ANNALISA';9
'AMY WINEHOUSE';9
'BAZZI';9
'BEABADOOBEE';9
'AWOLNATION';9
'BARBATUQUES';9
'ANTONIO OF ITALY';9
'BOOMDABASH';9
'BOBBY DARIN';9
'BIRTHH';9
'BLANCO BROWN';9
'CLAIRE ROSINKRANZ';9
'CAMILA CABELLO';9
'TWENTY ONE PILOTS';9
'TRACY CHAPMAN';9
'SIR SLY';9
'SAM HUNT';9
'SZA';9
'THE CHEMICAL BROTHERS';9
'THEGIORNALISTI & DEEJAY ALL STARS';9
'THE VERVE';9
'THE WAR ON DRUGS';8
'THE PRINCE KARMA';8
'THE DOORS';8
'THE HAWK IN PARIS';8
'SAMUELE BERSANI';8
'SUFJAN STEVENS';8
'VANCE JOY';8
'X AMBASSADORS';8
'BOBBY WOMACK';8
'ARETHA FRANKLIN & THE BLUES BROTHERS';8
'BEE GEES';8
'BEN HARPER & ELLEN HARPER';8
'ALANIS MORISSETTE';8
'DONATELLA RETTORE';8
'GEORGE BAKER SELECTION';8
'GHEMON';8
'GIANLUCA GRIGNANI';8
'PHARRELL WILLIAMS';8
'NICK DRAKE';8
'NEW TROLLS';8
'MASSIVE ATTACK';8
'LOUIS PRIMA';8
'LOST FREQUENCIES';8
'LOREDANA BERTÈ';8
'MALIKA AYANE';8
'KALI UCHIS & OZUNA';8
'KEANU SILVA';8
'JUSTIN BIEBER';8
'JOSÉ GONZÁLEZ';7
'JESS GLYNNE';7
'JOHN PAUL YOUNG';7
'JONAS BLUE';7
'IZZY BIZU';7
'MAHMOOD & BLANCO';7
'KUNGS VS. COOKIN' ON 3 BURNERS';7
