songartist;songtitle;nn;anno
CLAUDIO BAGLIONI;Strada Facendo;1;2023
COCKI MAZZETTI;La domenica;1;2023
COEZ, FRAH QUINTALE;Che colpa ne ho;4;2023
COLAPESCE & DIMARTINO;Musica leggerissima;1;2023
COLAPESCE & DIMARTINO;Sesso e architettura;3;2023
COLAPESCE & DIMARTINO;Splash;6;2023
COLAPESCE & DIMARTINO;Toy Boy (feat. Ornella Vanoni);1;2023
COLDPLAY;Don't Panic;1;2023
COLDPLAY;Humankind;2;2023
COLDPLAY;In my place;1;2023
COLOMBRE;Più di prima (feat. Franco126);2;2023
COMA_COSE;AGOSTO MORSICA;4;2023
COMA_COSE;Chiamami;1;2023
COMA_COSE;L'addio;2;2023
COSMO;La verità;1;2023
CREEDENCE CLEARWATER REVIVAL;Who'll Stop The Rain;1;2023
CRISPIE & ILIRA;Ladida (My Heart Goes Boom);1;2023
CYNDI LAUPER;Girls Just Want to Have Fun;1;2023
CYPRESS HILL;Insane In the Brain;1;2023
D4VD;Here With Me;3;2023
DAFT PUNK;Giorgio by Moroder;1;2023
DAFT PUNK;One More Time;1;2023
DANIELE SILVESTRI;Le cose in comune;1;2023
DANIELE SILVESTRI;L'uomo nello specchio (feat. Fulminacci);1;2023
DANIT;Lunita;3;2023
DAVID KUSHNER;Daylight;4;2023
DAVID PENN & KPD;Ain't Got No;1;2023
DAVID SYLVIAN & RYUICHI SAKAMOTO;Forbidden Colours;1;2023
DEEJAY ALL STARS;A te (feat. Jovanotti);1;2023
DEEJAY ALL STARS;Tutti Pazzi per Merry Xmas;1;2023
DELTA V;Un'estate fa;1;2023
DEPECHE MODE;Ghosts Again;2;2023
DEPECHE MODE;Ghosts Again (Radio Edit);8;2023
DEPECHE MODE;Never Let Me Down Again;1;2023
DEPECHE MODE;Personal Jesus;1;2023
DEVENDRA BANHART;Santa Maria de Feira;1;2023
DINAH WASHINGTON;What A Difference A Day Made;1;2023
DIODATO;Ci vorrebbe un miracolo;2;2023
DIODATO;Così speciale;1;2023
DIODATO;Occhiali da sole;1;2023
DIRE STRAITS;Brothers In Arms;1;2023
DIRE STRAITS;Down To The Waterline;1;2023
DIRE STRAITS;Local Hero Wild Theme (Live);1;2023
DIRE STRAITS;Private Investigations;1;2023
DIRE STRAITS;Sultans Of Swing;2;2023
DIRE STRAITS;Tunnel of love;1;2023
DITONELLAPIAGA;Fossi Come Te;1;2023
DJ FRANCESCO;La Canzone Del Capitano;1;2023
DOJA CAT;Paint The Town Red;4;2023
DOJA CAT;Paint The Town Red (Radio Edit);1;2023
DOJA CAT;Paint The Town Red (Squeaky Clean);2;2023
DOMINIC FIKE;Mona Lisa (Spider Man Across the Spider Verse);3;2023
DOTAN;Diamonds In My Chest;4;2023
DRAKE;Passionfruit;1;2023
DRENCHILL;Freed From Desire (feat. Indiiana);1;2023
DRUPI;Piccola e Fragile;1;2023
DUA LIPA;Dance The Night;3;2023
DUA LIPA;Houdini;3;2023
DUSTY SPRINGFIELD;Son of a Preacher Man;1;2023
DUSTY SPRINGFIELD;Spooky;1;2023
DYNORO & GIGI D'AGOSTINO;In My Mind;1;2023
EAGLES;Hotel California;2;2023
EAGLES;Take It Easy;1;2023
ED SHEERAN;American Town;1;2023
ED SHEERAN;Celestial;2;2023
ED SHEERAN;Eyes Closed;8;2023
EDITH PIAF;La Vie En Rose;1;2023
EDITH PIAF;Non, Je Ne Regrette Rien;1;2023
EDOARDO BENNATO;Un Giorno Credi;1;2023
EDOARDO BENNATO;Viva La Mamma;1;2023
ELASTICA;2 1;1;2023
ELBOW;Gentle Storm;1;2023
ELISA;Come te nessuno mai;3;2023
ELISA;Quando Nevica;2;2023
ELLA FITZGERALD & LOUIS ARMSTRONG;Let's Call the Whole Thing Off;1;2023
ELODIE;A Fari Spenti;5;2023
ELODIE;Due;4;2023
ELODIE;Ok. Respira;2;2023
ENZO JANNACCI;Silvano;1;2023
ERIC CLAPTON;Double Trouble (Just One Night Live);2;2023
ERIC CLAPTON;Lay Down Sally;1;2023
ERIC CLAPTON;Magnolia (feat. John Mayer);1;2023
ERNIA (CON BRESH & FABRI FIBRA);Parafulmini;3;2023
ETTA JAMES;I'd Rather Go Blind;1;2023
EVEREST;Garamond;1;2023
EX-OTAGO;Con te;2;2023
EX-OTAGO, FABRI FIBRA;Mondo Panico;1;2023
FABIO CONCATO;M'innamoro Davvero;3;2023
FABRI FIBRA;Stavo pensando a te;1;2023
FABRIZIO DE ANDRÉ;Don Raffaè;1;2023
FEDERICO SCAVO;Caliente (feat. Roy Paci);2;2023
FERRUCCIO TAGLIAVINI;Voglio vivere così;1;2023
FINK;Looking Too Closely;1;2023
FIORELLA MANNOIA;La casa in riva al mare;2;2023
FISHER & SHERMANOLOGY;It's A Killa;1;2023
FLEETWOOD MAC;Dreams;1;2023
FOR KING + COUNTRY & JORDIN SPARKS;Love Me Like I Am (R3HAB Remix);3;2023
FRANCESCO DE GREGORI;I muscoli del capitano;1;2023
FRANCESCO DE GREGORI;La donna cannone (1983);1;2023
FRANCESCO DE GREGORI;La leva calcistica della classe '68;1;2023
FRANCESCO DE GREGORI;Rimmel;1;2023
FRANCESCO NUTI;Sarà Per Te;1;2023
FRANCESCO TRICARICO;Io sono Francesco;1;2023
FRANCO BATTIATO;Amore che vieni, amore che vai;1;2023
FRANCO BATTIATO;E Ti Vengo A Cercare;1;2023
FRANCO BATTIATO;Gli Uccelli;1;2023
FRANCO BATTIATO;Il silenzio del rumore, 31 Dicembre 1999, Ore 9;1;2023
FRANCO BATTIATO;La Cura;1;2023
FRANCO BATTIATO;La stagione dell'amore;1;2023
FRANCO BATTIATO;L'animale;1;2023
FRANCO BATTIATO;L'ombra della luce (Live Baghdad);1;2023
FRANCO BATTIATO;Tutto l'universo obbedisce all'amore (con Carmen Consoli);1;2023
FRANCO BATTIATO;Un'Altra Vita;1;2023
FRANCO CALIFANO;Io Non Piango;1;2023
FRANCO CALIFANO;Tac;1;2023
FRANCO CALIFANO;Tutto il resto è noia;1;2023
FRANCOISE HARDY;Des ronds dans l'eau;1;2023
FRANK SINATRA;Come Rain or Come Shine;1;2023
FRANK SINATRA;Cycles;1;2023
FRANK SINATRA;I've Got You Under My Skin (with Bono Vox);1;2023
FRANK SINATRA;My Way;1;2023
FRANK SINATRA;That's Life;1;2023
FRED AGAIN.. & THE BLESSED MADONNA;Marea (We've Lost Dancing);1;2023
FUN LOVIN' CRIMINALS;We Have All the Time In the World;2;2023
GABRY PONTE, HOSANNA;One By One (Extended);2;2023
GAIA;ESTASI;3;2023
GALA;Come Into My Life (Molella and Phil Jay Edit Mix);1;2023
GAZEBO;I Like Chopin (Single Edit);2;2023
GENESI;Everything You Have Done (Meduza Edit);1;2023
GEORGE BAKER SELECTION;Little Green Bag;2;2023
GEORGE THOROGOOD & THE DESTROYERS;One Bourbon, One Scotch, One Beer;1;2023
GIANLUCA GRIGNANI;La mia storia tra le dita;2;2023
GIANMARIA TESTA;Il valzer di un giorno;2;2023
GIANNA NANNINI;Sei nell'anima;2;2023
GIANNI TOGNI;Luna;1;2023
GIGI D'AGOSTINO;L'amour toujours (I'll Fly with You);1;2023
GINO PAOLI;Sapore di sale;1;2023
GINO PAOLI;Una lunga storia d'amore (Per Una Storia);2;2023
GIORGIO GABER;Io non mi sento italiano;1;2023
GIPSY KINGS;Caminando Por La Calle;2;2023
GIPSY KINGS;Djobi Djoba;1;2023
GIULIANO PALMA & THE BLUEBEATERS;Domani;1;2023
GORILLAZ;Tormenta (feat. Bad Bunny);5;2023
GOTAN PROJECT;Diferente;1;2023
GRACE JONES;La vie en rose;1;2023
GRANT-LEE PHILLIPS;Racing Away;1;2023
GREEN DAY;Basket Case;1;2023
GUÈ;Mollami Pt.2;3;2023
GUESCH PATTI;Etienne;1;2023
GUNS N' ROSES;Patience;1;2023
GUNS N' ROSES;Sweet Child O' Mine;1;2023
HANNES & WATERBABY;Stockholmsvy;3;2023
HARRY NILSSON;Everybody's Talkin';2;2023
HARRY STYLES;Music For a Sushi Restaurant;2;2023
HARRY STYLES;Satellite;3;2023
HERB ALPERT;This Guy's In Love With You;1;2023
HILIGHT TRIBE;Free tibet;1;2023
HOOVERPHONIC;2 Wicky;1;2023
HOOVERPHONIC;Por Favor;1;2023
