songartist;songtitle;nn;anno
SAMUELE BERSANI;Freak;1;2023
SANTANA;Sideways (feat. Citizen Cope);2;2023
SAY SHE SHE;C'est Si Bon;3;2023
SELENA GOMEZ;Single Soon;2;2023
SERGIO CAPUTO;Un sabato italiano;1;2023
SERGIO ENDRIGO;Ci vuole un fiore;1;2023
SERGIO ENDRIGO;Io che amo solo te;1;2023
SERGIO MENDES & BRASIL '66;Mas Que Nada;1;2023
SHEILA CHANDRA;Ever So Lonely Eyes Ocean;1;2023
SHOCKING BLUE;Venus;1;2023
SIDEKICK;Deep Fear (Phobia Club Mix);1;2023
SIMON & GARFUNKEL;Mrs. Robinson;2;2023
SIMON & GARFUNKEL;The Sound of Silence;1;2023
SIMPLY RED;If You Don't Know Me By Now;1;2023
SIMPLY RED;Stars;1;2023
SNATAM KAUR;Mul Mantra;3;2023
SNOW PATROL;Chasing Cars;1;2023
SOLOMON BURKE;Cry to Me;1;2023
SONNY BOY WILLIAMSON;Help Me;1;2023
SOPHIE AND THE GIANTS, MEARSY;DNA;10;2023
SPILLER;Groovejet (If This Ain't Love) (Spiller's Extended Vocal Mix);1;2023
STAN GETZ & JOÃO GILBERTO;The Girl from Ipanema;1;2023
STATUS QUO;Whatever You Want;2;2023
STEALERS WHEEL;Stuck In The Middle With You;1;2023
STEFANO ROSSO;Una Storia Disonesta;3;2023
SUD SOUND SYSTEM;Sciamu a ballare;2;2023
SUPERGRASS;Alright;1;2023
SURF MESA;ily (i love you baby) (feat. Emilee);1;2023
SURVIVOR;Eye of the Tiger;3;2023
SZA;Kill Bill;3;2023
SZA;Nobody Gets Me;2;2023
TAKE THAT;Where We Are;2;2023
TAKE THAT;Windows;1;2023
TAME IMPALA;Wings Of Time;2;2023
TANANAI;TANGO;4;2023
TATE MCRAE;greedy;3;2023
TAYLOR SWIFT;Anti Hero;5;2023
TAYLOR SWIFT;Cruel Summer;1;2023
TAYLOR SWIFT;Is It Over Now (Taylor's Version) (From The Vault);2;2023
TEDDY SWIMS;Lose Control;3;2023
THE ALAN PARSONS PROJECT;Eye in the Sky;2;2023
THE AVENER;Fade Out Lines (Radio Edit);1;2023
THE BEATLES;Bad Boy;1;2023
THE BEATLES;Norwegian Wood (The Bird Has Flown);1;2023
THE BEATLES;Now And Then;6;2023
THE BEATLES;Something;3;2023
THE BEATLES;While My Guitar Gently Weeps;1;2023
THE BLACK KEYS;Lonely Boy;3;2023
THE BLAZE;Territory;2;2023
THE BLESSED MADONNA;Mercy (feat. Jacob Lusk);2;2023
THE BLESSED MADONNA;Mercy (feat. Jacob Lusk) (Extended);4;2023
THE CARS;Drive;1;2023
THE CLASH;London Calling;1;2023
THE COMMODORES;Easy;1;2023
THE DANDY WARHOLS;Bohemian Like You;1;2023
THE DOOBIE BROTHERS;Long Train Running;2;2023
THE DOORS;Roadhouse Blues;2;2023
THE FRATELLIS;Chelsea Dagger;1;2023
THE OFFSPRING;Pretty Fly (For a White Guy);2;2023
THE PRODIGY;Smack My Bitch Up;1;2023
THE ROLLING STONES;Angry;4;2023
THE ROLLING STONES;Jumpin' Jack Flash;2;2023
THE ROLLING STONES;Living In A Ghost Town;1;2023
THE ROLLING STONES;Mess It Up;3;2023
THE ROLLING STONES;Mess It Up (Purple Disco Machine Remix);2;2023
THE ROLLING STONES;Miss You;1;2023
THE ROLLING STONES;Start Me Up;2;2023
THE SMITHS;Please, Please, Please, Let Me Get What I Want;2;2023
THE TRAMMPS;Disco Inferno;1;2023
THE VACCINES;Heartbreak Kid;1;2023
THE VERVE;Bitter Sweet Symphony;1;2023
THE VERVE;Lucky Man;1;2023
THIRTY SECONDS TO MARS;Seasons;6;2023
THIRTY SECONDS TO MARS;Stuck;4;2023
TI.PI.CAL.;Round And Around (Extended Mix);1;2023
TIËSTO & MOSKA;Acordeão;1;2023
TIMORIA;Senza Vento;1;2023
TIROMANCINO;La descrizione di un attimo;3;2023
TIROMANCINO, ENULA;Due Rose;4;2023
TIZIANO FERRO;Addio Mio Amore;3;2023
TIZIANO FERRO;Destinazione Mare;2;2023
TOMMASO PARADISO;Blu ghiaccio travolgente;1;2023
TOMMASO PARADISO;Viaggio intorno al sole;4;2023
TONINO CAROTONE;Me Cago en el Amor;1;2023
TOTO;Africa;1;2023
TR3NACRIA & STEREOKILLA;La Foule;2;2023
TR3NACRIA & STEREOKILLA;La Foule (Club Mix);3;2023
TRACY CHAPMAN;Baby Can I Hold You;1;2023
TRINIX & FAFÁ DE BELÉM;Emorio (Radio Edit);2;2023
TROPICO;Che Mme Lassat' A Fa;2;2023
TROPICO;Fantasie (con Cesare Cremonini);5;2023
TROYE SIVAN;Rush;2;2023
TROYE SIVAN;Rush (Extended);1;2023
TRUSS ROD;Run Wild;2;2023
TUNNELVISIONS;Guava;2;2023
TYLA;Water;4;2023
TYLA X TRAVIS SCOTT;Water (Remix);1;2023
U2;Atomic City;4;2023
U2;One;1;2023
U2;Vertigo;3;2023
UMBERTO TOZZI;Stella Stai;2;2023
URGE OVERKILL;Girl, You'll Be a Woman Soon;1;2023
VAN HALEN;Jump;1;2023
VANESSA DA MATA;Boa Sorte (con Ben Harper);1;2023
VASCO ROSSI;Gli sbagli che fai;4;2023
VASCO ROSSI;La noia;2;2023
VASCO ROSSI;Non l'hai mica capito;2;2023
VASCO ROSSI;Portatemi Dio;1;2023
VASCO ROSSI;Sally;2;2023
VASCO ROSSI;Toffee;1;2023
VASCO ROSSI;Una canzone per te;2;2023
VASCO ROSSI;Va Bene, Va Bene Cosi (Live);1;2023
VASCO ROSSI;Vivere;1;2023
VELVET;Boyband;1;2023
VENERUS;Resta qui;3;2023
VILLAGE PEOPLE;YMCA;1;2023
VILLAGERS;Everything I Am Is Yours;1;2023
VINICIO CAPOSSELA;Che cossè l'amor;1;2023
VINICIO CAPOSSELA;Ovunque Proteggi;1;2023
VINICIO CAPOSSELA;Si è spento il sole;1;2023
VIOLA VALENTINO;Comprami;2;2023
WHITNEY HOUSTON;I Wanna Dance With Somebody (Who Loves Me);1;2023
WILDCHILD;Renegade Master (Fatboy Slim Old Skool Edit);1;2023
WILL.I.AM;Scream & Shout (feat. Britney Spears);1;2023
WUKI;Sunshine (My Girl);1;2023
WYCLEF JEAN;Gone Till November;1;2023
WYCLEF JEAN;We Trying to Stay Alive (feat. John Forté & Pras);1;2023
XAVIER RUDD;Storm Boy;1;2023
YUKSEK, VOYOU & PÀULA;Hypra Sensorial;1;2023
YUNGBLUD;Mad;2;2023
YUSUF / CAT STEVENS;Father And Son;1;2023
YUSUF / CAT STEVENS;Wild World;1;2023
YVONNE ELLIMAN;If I Can't Have You;1;2023
ZAKES BANTWINI, KASANGO & CLAPTONE;Osama (Claptone Remix);2;2023
ZEF E MARZ, ELISA, LA RAPPRESENTANTE DI LISTA;Tilt;2;2023
ZUCCHERO;Dune Mosse (with Miles Davis);2;2023
ZUCCHERO;Miserere;1;2023
ZUCCHERO;Per Colpa Di Chi;3;2023
